item,itemLabel,position,positionLabel,startDate,endDate
Q1932603,Miguel Díaz-Canel,,President,,
Q79358625,Manuel Marrero Cruz,,Prime Minister,,
Q51954822,Salvador Valdés Mesa,,First Vice President of Council of Ministers,,
Q1388860,Ramiro Valdés Menéndez,,Vice Presidents of Council of Ministers,,
Q4776586,Antonio Enrique Lussón Batlle,,Vice Presidents of Council of Ministers,,
Q53871460,Adel Onofre Yzquierdo Rodríguez,,Vice Presidents of Council of Ministers,,
Q44008911,Roberto Morales Ojeda,,Vice Presidents of Council of Ministers,,
,Inés María Chapman,,Vice Presidents of Council of Ministers,,
,Ricardo Cabrisas Ruíz,,Vice Presidents of Council of Ministers and Executive Committee,,
Q7879043,Ulises Rosales del Toro,,Vice Presidents of Council of Ministers and Executive Committee,,
,Alejandro Gil Fernández,,Minister of Economy and Planning,,
,Lázaro Alberto Álvarez Casas,,Minister of the Interior,,
Q58183,Bruno Eduardo Rodríguez Parrilla,,Minister of Foreign Affairs,,
,Oscar Manuel Silveira Martínez,,Minister of Justice,,
Q2886425,Álvaro López Miera,,Minister of the Revolutionary Armed Forces,,
,José Ángel Portal Miranda,,Minister of Public Health,,
,Marta Elena Feita Cabrera,,Minister of Labor and Social Security,,
,Gustavo Rodriguez Rollero,,Minister of Agriculture,,
,Ena Elsa Velazquez Cobiella,,Minister of Education,,
,Liván Arronte Cruz,,Minister of Energy and Mines,,
,Alpidio Alonso Grau,,Minister of Culture,,
,Rodolfo Alarcon Ortiz,,Minister of Higher Education,,
,Marta Wilson González,,Ministerial President of the Central Bank of Cuba,,
Q43977888,Elba Rosa Pérez Montoya,,"Minister of Science, Technology and Environment",,
,Jorge Luis Perdomo Di-Lella,,Minister of Informatics and Communications,,
,Betsy Díaz Velázquez,,Minister of Domestic Trade,,
Q7357366,Rodrigo Malmierca Diaz,,Minister of Foreign Trade and Investment,,
Q113574912,Meisi Bolaños Weiss,,Minister of Finance and Prices,,
,Rene Mesa Villafana,,Minister of Construction,,
,Eloy Alvarez Martínez,,Minister of Industry,,
,Manuel Santiago Sobrino Martínez,,Minister of Food Industry,,
Q111908765,Juan Carlos García Granda,,Minister of Tourism,,
Q53871460,Adel Onofre Yzquierdo Rodríguez,,Minister of Transportation,,
,Danylo Sirio López,,President of the Cuban Radio and Television Institute,,
,Julio Christian Jiménez Molina,,"President of the National Institute of Sports, P.E. and Rec",,
,Antonio Rodríguez Rodríguez,,President of the National Hydraulic Resources Institute,,
