position,positionLabel,ofLabel,jurisdictionLabel,people,example
Q5453787,First Secretary of the Communist Party of Cuba,,Cuba,3,Q1932603
Q15647601,Secretary General of the Non-Aligned Movement,,,2,Q46809
Q2621182,minister of culture,,,2,Q5670557
Q1516390,Council of State of Cuba,,,1,Q44008911
Q3858481,Ministry of the Interior,,Cuba,1,Q1388860
Q1162163,director,Cuban National Center for Sex Education,,1,Q253736
Q1162163,director,Sexología y Sociedad,,1,Q253736
Q12303322,minister of labour,,,1,Q2646349
Q8125919,political adviser,,,1,Q318484
