item,itemLabel,startDate,endDate,sourceDate,psid
Q318484,Abel Prieto Jiménez,1997,2012,2022-10-06,Q318484-A8AE4E7D-6826-46EC-AA05-CAD8E5AC4EC5
Q114436370,Rafael Bernal Alemany,2012,2014,2022-10-06,Q114436370-8DED3758-1CAC-47CB-8DF4-E1621DBF3A56
Q114436368,Julián González Toledo,2014,2016,2022-10-06,Q114436368-2EF1D25A-E56D-4B57-9908-F74957391E66
Q114436367,Abel Prieto Jiménez,2016,2018,2022-10-06,Q114436367-74C8789F-D0AD-4195-9094-B122EF6AEA00
Q5670557,Alpidio Alonso Grau,2018-07-20,,,Q5670557-6E8E040C-38AE-442A-A46F-A020903FAA1E
