item,itemLabel,startDate,endDate,sourceDate,psid
Q114436260,Carlos Dotres Martínez,1995,2002,2022-10-06,Q114436260-5F82D992-E693-422D-8E87-F1E085B639A7
Q114436261,Damodar Peña Pentón,2002,2005,2022-10-06,Q114436261-741D61F1-6038-48AA-919B-6C8CDE8C6307
Q1709592,José Ramón Balaguer Cabrera,2005,2010,2022-10-06,Q1709592-637F9C6B-DF74-4659-B3E0-738869870D12
Q44008911,Roberto Morales Ojeda,2012-07-21,2018-07-21,,Q44008911-5935A9D5-17B5-4FCB-A429-943851BA881C
Q114436262,José Ángel Portal Miranda,2018,,2022-10-06,Q114436262-9031B3DB-F1A1-4E21-9839-37E76F388A1B
