@@,item,itemlabel,startdate,enddate
+++,,José Luis Rodríguez García,1995,2009
+++,Q1898550,Marino Alberto Murillo Jorge,2009,2011
+++,,Adel Yzquierdo Rodríguez,2011,2014
+++,,Marino Alberto Murillo Jorge,2014,2016
->,Q15842341,Ricardo Cabrisas->Ricardo Cabrisas Ruiz,2016-07,
