item,itemLabel,startDate,endDate,sourceDate,psid
Q8076743,Álvaro Pérez Morales,1997,2003,2022-10-06,Q8076743-E757F195-E239-4FCD-A9E2-B8D7D8B3E67A
Q5042321,Carlos Manuel Pazo Torrado,2003,2006,2022-10-06,Q5042321-95E6665C-2D51-494B-86C7-B6DCEFBA065A
Q6278251,Jorge Luis Sierra Cruz,2006,2010,2022-10-06,Q6278251-6E41EC58-3EF3-4E44-89B0-028DB58D46A8
Q114436302,César Ignacio Arocha Masid,2010,2015,2022-10-06,Q114436302-9500D36A-C97F-4C46-A5DB-CB94F53A8E2D
Q53871460,Adel Yzquierdo Rodríguez,2015-09-09,2019-01-08,2022-10-06,Q53871460-9DFA68CC-0DC8-4A6D-A61B-6844C233F430
Q114437461,Eduardo Rodríguez Dávila,2019-01-08,,,Q114437461-8145323a-4e9d-e9b5-09a7-08d73532dcf2
