item,itemLabel,startDate,endDate,sourceDate,psid
Q114436117,Alfredo Jordán Morales,1993,2003,2022-10-06,Q114436117-980554F8-BFBD-4395-ACBA-FF4852790144
Q114436118,María del Carmen Pérez,2003,2008,2022-10-06,Q114436118-9329A120-6C21-4380-9976-9E8739BC0193
Q7879043,Ulises Rosales del Toro,2008-11-25,2010-06-13,,Q7879043-F1A96379-5918-4909-AFCF-6D360A5D9D57
Q44008930,Gustavo Rodríguez Rollero,2010,2021,,Q44008930-DC786677-240F-4A9D-BC02-1059C0B09640
Q114435912,Ydael Pérez Brito,2021,,,Q114435912-af507bdb-4a95-5921-f0c3-2bebd02d3254
