@@,item,itemlabel,startdate,enddate
+++,,Fernándo Vecino Alegret,1976,2005
+++,,Juan Vela Valdés,2005,2009
+++,,Miguel Mario Díaz-Canel Bermúdez,2009,2012
+++,,Rodolfo Alarcón Ortiz,2012,2016
+++,Q44008791,José Ramón Saborido,2016,
