item,itemLabel,startDate,endDate,sourceDate,psid
Q114436375,Fernándo Vecino Alegret,1976,2005,2022-10-06,Q114436375-F633EB49-E850-403F-BC15-11DC53A8A0CA
Q114436376,Juan Vela Valdés,2005,2009,2022-10-06,Q114436376-6C4C91F5-12DB-4C00-BF01-E2E32AA20F3A
Q1932603,Miguel Mario Díaz-Canel Bermúdez,2009,2012,2022-10-06,Q1932603-0433BC6F-9949-4D58-9465-AACDC04E2D10
Q114436377,Rodolfo Alarcón Ortiz,2012,2016,2022-10-06,Q114436377-A4013A7C-3510-44B4-983D-824ED1BBFAD7
Q44008791,José Ramón Saborido,2016,,2022-10-06,Q44008791-D12DEA7F-ACC3-4EA4-8EC7-1D488FF555ED
