@@,item,itemlabel,startdate,enddate
+++,,Ibrahim Ferradaz García,1999,2004
+++,Q79358625,Manuel Marrero Cruz,2004,2019
+++,,Juan Carlos García Granada,2019,
---,Q111908765,,2019-12-21,
