who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
57165069,Q21071159,Vice President of Cuba,2019-10-10,,Rafael Guas Inclán,Rafael Guas Inclán (1959),,,0
57165069,First Vice President of Cuba,First Vice President of the Council of State,2018-04-19,2019-10-10,Q1932603,Miguel Díaz-Canel,,Post abolished,1
57165069,Q21071159,Fifth Vice President of the Council of State,2013-02-24,2018-04-19,Q1369810,Esteban Lazo Hernández,,Beatriz Jonson Urrutia (elect),2
57165069,,Minister of Labor and Social Security,1995,1999,,,,,3
