position,person,personID,start,end
President,Miguel Díaz-Canel,Q1932603,2018-04-19,
Vice-President,Salvador Valdés Mesa,Q51954822,2018-04-19,
Prime Minister,Manuel Marrero Cruz,Q79358625,2019-12-21,
Deputy Prime Minister,Ramiro Valdés,Q1388860,2009,
Deputy Prime Minister,Ricardo Cabrisas,Q15842341,2009,
Deputy Prime Minister,Inés María Chapman Waugh,Q114436612,2018,
Deputy Prime Minister,Jorge Luis Tapia Fonseca,Q114437476,2019-09-04,
Deputy Prime Minister,Alejandro Gil Fernández,Q114436493,2019-12-21,
Deputy Prime Minister,Jorge Luis Perdomo Di-Lella,Q114436510,2021-04-20,
Minister of Agriculture,Ydael Pérez Brito,Q114435912,2021,
Minister of Communications,Mayra Arevich Marín,Q114437436,2021-04-20,
Minister of Construction,René Mesa Villafaña,Q114436132,2011,
Minister of Culture,Alpidio Alonso Grau,Q5670557,2018-07-20,
Minister of Domestic Trade,Betsy Díaz Velázquez,Q114436499,2019-12-21,
Minister of Economy and Planning,Alejandro Gil Fernández,Q114436493,2018-07-21,
Minister of Education,Ena Elsa Velázquez Cobiella,Q114436186,2008,
Minister of Energy and Mines,Liván Arronte Cruz,Q114436517,2019-12-21,
Minister of Finance and Prices,Meisi Bolaños,Q113574912,2019-01-08,
Minister of Food,Manuel Santiago Sobrino Martínez,Q114436488,2019-12-21,
Minister of Foreign Affairs,Bruno Rodríguez Parrilla,Q58183,2009-03-02,
Minister of Foreign Trade and Investment,Rodrigo Malmierca Díaz,Q7357366,2009-03,
Minister of Higher Education,José Ramón Saborido,Q44008791,2016-07-13,
Minister of Industry,Eloy Alvarez Martínez,Q114436491,2019-12-21,
Minister of the Interior,Lázaro Alberto Álvarez Casas,Q114436521,2019-12-21,
Minister of Justice,Oscar Manuel Silveira Martínez,Q114436494,2019-12-21,
Minister of Labour and Social Affairs,Marta Elena Feita Cabrera,Q114436504,2019-12-21,
Minister of Public Health,José Ángel Portal Miranda,Q114436262,2018,
Minister of the Revolutionary Armed Forces,Álvaro López Miera,Q2886425,2021-04-15,
"Minister of Science, Technology and the Environment",Elba Rosa Pérez Montoya,Q43977888,2012,
Minister of Tourism,Juan Carlos García Granda,Q111908765,2019-12-21,
Minister of Transport,Eduardo Rodríguez Dávila,Q114437461,2019-01-08,
Secretary of the Council of Ministers,José Amado Ricardo Guerra,Q16190513,2009,
President of the Central Bank,Marta Sabina Wilson González,Q114436923,2020-01-31,
President of the National Institute of Radio and Television,Danylo Sirio López,Q114436688,2009,
President of the National Institute of Sports,Osvaldo Caridad Vento Montiller,Q114436910,2019,
President of the National Assembly,Esteban Lazo Hernández,Q1369810,2013-02-24,
